time,V(n001),V(n009),V(vin1),V(vin2),V(n002),V(n012),V(vz),V(n004),V(n013),V(n005),V(n008),V(n007),V(n006),V(n011),V(n003),V(vout),V(n010),I(D1),I(D2),I(Rf),I(Rb),I(R3),I(R4),I(Rin),I(Rf2),I(R5),I(R6),I(R_weight1),I(R_weight2),I(Vcc),I(Vee),I(V1),I(V2),I(Vbias),I(Vref),Ix(input_buffer_1:1),Ix(input_buffer_1:2),Ix(input_buffer_1:3),Ix(input_buffer_1:4),Ix(input_buffer_1:5),Ix(input_buffer_2:1),Ix(input_buffer_2:2),Ix(input_buffer_2:3),Ix(input_buffer_2:4),Ix(input_buffer_2:5),Ix(weighted_sum:1),Ix(weighted_sum:2),Ix(weighted_sum:3),Ix(weighted_sum:4),Ix(weighted_sum:5),Ix(gain_stage:1),Ix(gain_stage:2),Ix(gain_stage:3),Ix(gain_stage:4),Ix(gain_stage:5),Ix(activation:1),Ix(activation:2),Ix(activation:3),Ix(activation:4),Ix(activation:5),Ix(limiter:1),Ix(limiter:2),Ix(limiter:3),Ix(limiter:4),Ix(limiter:5),Ix(output_stage:1),Ix(output_stage:2),Ix(output_stage:3),Ix(output_stage:4),Ix(output_stage:5)
1.8232923906550685e-10,5.0,-5.0,0.00018232924,0.0,0.49515653,0.4951565,0.49509126,0.87134236,2.0,0.49475518,0.4949183,0.4947549,0.49475184,0.49475494,0.49474832,0.49747375,-1.4,-9.166788e-18,9.167442e-18,-1.8812556e-05,5.643288e-05,-1.729826e-08,-1.6308423e-08,-3.3514377e-10,6.543599e-10,-6.5894135e-10,3.3055525e-10,-1.8809293e-05,-1.8809293e-05,-0.003466725,0.00352319,-3.6465847e-13,0.0,-5.643288e-05,2.8e-09,3.6465847e-13,9.903129e-10,0.0004894821,-0.00050829636,1.8808301e-05,0.0,9.903129e-10,0.0004894821,-0.00050829636,1.8808301e-05,0.0,1.7426847e-09,0.0004894872,-0.0005082882,1.8794266e-05,0.0,9.898365e-10,0.0004992494,-0.0004992713,1.5973132e-08,0.0,9.895036e-10,0.00049925834,-0.000499263,-1.3133016e-09,0.0,9.894966e-10,0.0004992578,-0.00049926346,-3.305553e-10,9.901825e-10,-2.8e-09,0.0005005081,-0.00050051126,-1.505234e-17
2.8997377520802196e-10,5.0,-5.0,0.00028997377,0.0,0.49550936,0.49550933,0.49543947,0.8716058,2.0,0.49508637,0.49525794,0.495086,0.49508297,0.49508607,0.49507943,0.49989328,-1.4,-9.174277e-18,9.174931e-18,-1.8808318e-05,5.6419707e-05,-1.8150926e-08,-1.716041e-08,-3.391113e-10,6.5105465e-10,-6.5933353e-10,3.308253e-10,-1.8804823e-05,-1.8804825e-05,-0.0034558575,0.0035123094,-5.7994755e-13,0.0,-5.6419707e-05,2.8e-09,5.7994755e-13,9.910187e-10,0.0004883848,-0.0005071946,1.8803832e-05,0.0,9.910186e-10,0.0004883848,-0.0005071946,1.8803834e-05,0.0,1.7432116e-09,0.00048839324,-0.00050718914,1.8789176e-05,0.0,9.905159e-10,0.0004976215,-0.0004976443,1.6821282e-08,0.0,9.90166e-10,0.00049763045,-0.0004976351,-1.3103882e-09,0.0,9.901588e-10,0.00049763,-0.0004976356,-3.3082534e-10,9.908789e-10,-2.8e-09,0.0004978128,-0.000497816,3.8127778e-18
3.62695439562599e-09,5.0,-5.0,0.0036269545,0.0,0.46288955,0.46288186,0.4626354,0.8470932,2.0,0.46244445,0.46253532,0.46244445,0.46244147,0.46244448,0.4624383,0.5334912,-1.4,-8.577071e-18,8.577644e-18,-1.9222893e-05,5.764534e-05,-1.0009582e-08,-9.084511e-09,-2.9519445e-10,6.2968847e-10,-6.155872e-10,3.0928943e-10,-1.9210183e-05,-1.9210569e-05,-0.003456731,0.003514407,-7.253909e-12,0.0,-5.7645342e-05,2.8e-09,7.253909e-12,9.257791e-10,0.0004886324,-0.0005078473,1.9209258e-05,0.0,9.257637e-10,0.0004886324,-0.00050784764,1.9209643e-05,0.0,1.6941866e-09,0.00048863573,-0.000507854,1.9211959e-05,0.0,9.250706e-10,0.0004979055,-0.00049791986,8.788705e-09,0.0,9.2488295e-10,0.00049791037,-0.0004979147,-1.2452889e-09,0.0,9.2487656e-10,0.0004979099,-0.00049791514,-3.0928934e-10,9.2527075e-10,-2.8e-09,0.00049710483,-0.0004971083,-3.625549e-18
6.963935016043958e-09,5.0,-5.0,0.006963935,0.0,0.4299115,0.42986888,0.42931017,0.82226443,2.0,0.42942628,0.42936394,0.42942604,0.4294234,0.42942607,0.42942035,0.5665945,-1.4,-7.976243e-18,7.97674e-18,-1.9647712e-05,5.888678e-05,5.3774425e-09,6.23617e-09,-2.915896e-10,5.6725713e-10,-5.7121724e-10,2.876234e-10,-1.9617646e-05,-1.9619776e-05,-0.003457493,0.0035164084,-1.392787e-11,0.0,-5.888678e-05,2.8e-09,1.392787e-11,8.59823e-10,0.0004886825,-0.00050830445,1.9616786e-05,0.0,8.597377e-10,0.00048868224,-0.0005083063,1.9618918e-05,0.0,1.6445288e-09,0.00048867427,-0.00050833245,1.9652232e-05,0.0,8.5872787e-10,0.0004982083,-0.00049820694,-6.527869e-09,0.0,8.5884677e-10,0.00049820566,-0.0004982096,-1.1386211e-09,0.0,8.5884067e-10,0.0004982052,-0.0004982101,-2.8762284e-10,8.586203e-10,-2.8e-09,0.00049683475,-0.00049683853,-4.517509e-19
1.3853185329164925e-08,5.0,-5.0,0.013853185,0.0,0.36384565,0.36328554,0.360763,0.7719658,2.0,0.36290228,0.36182904,0.36283386,0.3628534,0.3628357,0.36282966,0.6351684,-1.4,-8.239293e-18,8.239861e-18,-2.0560141e-05,6.140171e-05,1.06601426e-07,1.07325086e-07,-4.8848796e-09,-4.1591726e-09,-4.2280598e-10,3.028533e-10,-2.0406009e-05,-2.0434016e-05,-0.0034583833,0.0035198103,-2.770637e-11,0.0,-6.140159e-05,2.8e-09,2.770637e-11,7.2769135e-10,0.0004887886,-0.00050919806,2.0405067e-05,0.0,7.265711e-10,0.000488781,-0.00050921866,2.0433265e-05,0.0,1.5439316e-09,0.00048869516,-0.0005093665,2.0666183e-05,0.0,7.23658e-10,0.0004987535,-0.00049864576,-1.12102725e-07,0.0,7.2570683e-10,0.00049869716,-0.0004987051,3.58078e-09,0.0,7.256593e-10,0.000498699,-0.0004987031,-2.971094e-10,7.21526e-10,-2.8e-09,0.00049596874,-0.00049597304,1.6082332e-18
2.7631685955406857e-08,5.0,-5.0,0.027631685,0.0,0.25369132,0.24750417,0.22377762,0.68123645,2.0,0.25265053,0.23821169,0.24624947,0.24829447,0.24742687,0.24663864,0.7723112,-1.4,-1.0667671e-15,1.1216999e-15,-2.2872942e-05,6.593818e-05,1.4434065e-06,1.443883e-06,-4.356043e-07,-4.3510775e-07,3.8917744e-08,3.9411017e-08,-2.1377256e-05,-2.1686616e-05,-0.003457857,0.0035238145,-5.526337e-11,0.0,-6.5937755e-05,2.8e-09,5.526337e-11,5.0738264e-10,0.0004888996,-0.0005102786,2.1375912e-05,0.0,4.9500837e-10,0.00048877794,-0.00051046704,2.1686114e-05,0.0,1.3624729e-09,0.0004876157,-0.00051193574,2.431645e-05,0.0,4.764234e-10,0.0005002532,-0.0004983771,-1.8791678e-06,0.0,4.9658894e-10,0.0004990935,-0.00049957,4.7356366e-07,0.0,4.932773e-10,0.0004993453,-0.0004993089,-3.9396976e-08,4.4755524e-10,-2.8e-09,0.0004938718,-0.0004938772,-4.3368087e-19
5.518868720789072e-08,5.0,-5.0,0.055188686,0.0,0.1349674,0.10387272,-0.049057204,0.54744023,2.0,0.16521312,0.058077384,0.088854104,0.11326749,0.11363944,0.097114585,1.0465649,-1.4,-1.902714e-14,5.5977128e-14,-2.9824872e-05,7.262798e-05,1.0713459e-05,1.0713575e-05,-5.194564e-06,-5.1943375e-06,8.2604845e-07,8.262426e-07,-2.0623642e-05,-2.2178378e-05,-0.0034517676,0.0035244084,-1.10377374e-10,0.0,-7.262756e-05,2.8e-09,1.10377374e-10,2.699348e-10,0.00048963836,-0.00051026244,2.0622369e-05,0.0,2.0774543e-10,0.0004889421,-0.00051112165,2.2178318e-05,0.0,1.0948805e-09,0.00048001448,-0.000520554,4.0538944e-05,0.0,1.16154766e-10,0.00050788745,-0.0004919813,-1.5907935e-05,0.0,2.2653499e-10,0.0004968305,-0.0005028517,6.020092e-06,0.0,1.9422917e-10,0.00050021743,-0.00049939257,-8.2623797e-07,-9.8114405e-11,-2.8e-09,0.00048823722,-0.0004882448,-4.7451162e-18
1.0645048740169373e-07,5.0,-5.0,0.10645049,0.0,0.0983386,0.010341387,-0.54952514,0.3897848,2.0,0.312436,-0.118543364,-0.081526734,0.04443387,0.091492034,-0.023851113,1.554062,-1.4,-1.2294617e-13,3.5692038e-10,-4.69655e-05,8.051076e-05,4.3098178e-05,4.3097938e-05,-2.6800217e-05,-2.6800128e-05,5.767562e-06,5.7671573e-06,-1.4572311e-05,-1.8972172e-05,-0.0034336208,0.0035141434,-2.1290097e-10,0.0,-8.051066e-05,2.8e-09,2.1290097e-10,1.966772e-10,0.0004926392,-0.00050721236,1.4571811e-05,0.0,2.0682773e-11,0.0004905845,-0.0005095569,1.8972252e-05,0.0,7.7956963e-10,0.00045401359,-0.0005440737,9.0064874e-05,0.0,-2.3708674e-10,0.00053588575,-0.0004659905,-6.989816e-05,0.0,8.886773e-11,0.00048407158,-0.0005166385,3.256769e-05,0.0,-4.7702228e-11,0.0005027525,-0.00049698586,-5.76751e-06,-1.0990503e-09,-2.8e-09,0.00047367383,-0.00047368553,1.174347e-18
1.6255249200313198e-07,5.0,-5.0,0.16255249,0.0,0.14514,-0.0014162125,-1.0746686,0.26726112,2.0,0.69697076,-0.188847,-0.24562612,0.05574804,0.24612065,-0.06813386,2.001411,-1.4,-3.241471e-13,2.0369241e-06,-6.709649e-05,8.6636945e-05,8.8582165e-05,8.858178e-05,-6.412228e-05,-6.412216e-05,1.7749227e-05,1.5712725e-05,-6.106056e-06,-1.3433867e-05,-0.0034124213,0.0034990737,-3.2510497e-10,0.0,-8.6636945e-05,2.8e-09,3.2510497e-10,2.9028e-10,0.0004966978,-0.00050280563,6.1057685e-06,0.0,-2.8324248e-12,0.00049329794,-0.0005067318,1.343387e-05,0.0,5.3452226e-10,0.00041744305,-0.00057311356,0.0001556808,0.0,-3.7769401e-10,0.0005786243,-0.00042592693,-0.00015270406,0.0,1.1149608e-10,0.000460659,-0.0005425283,8.187165e-05,0.0,-1.3626772e-10,0.00050822576,-0.00049047876,-1.7749346e-05,-2.1493372e-09,-2.8e-09,0.0004574736,-0.00045748876,5.4621875e-18
2.1148563906845229e-07,5.0,-5.0,0.21148564,0.0,0.19591719,0.0005531772,-1.4802576,0.1790514,2.0,1.0971589,-0.1915474,-0.41875863,0.065922104,0.4213547,-0.058406048,2.070982,-1.4,-4.8974925e-13,1.204817e-05,-8.296545e-05,9.104743e-05,0.00012887103,0.00012887064,-0.00010312369,-0.00010312356,3.6035257e-05,2.3988037e-05,8.432895e-07,-8.924911e-06,-0.003405,0.0034960639,-4.2297127e-10,0.0,-9.104743e-05,2.8e-09,4.2297127e-10,3.9183437e-10,0.00050000043,-0.00049915956,-8.436814e-07,0.0,1.1063544e-12,0.0004955288,-0.0005044537,8.92491e-06,0.0,3.581028e-10,0.00038450805,-0.0005963329,0.00021183943,0.0,-3.8309478e-10,0.0006192929,-0.00038730924,-0.00023199433,0.0,1.318442e-10,0.00043436355,-0.00057351874,0.00013915931,0.0,-1.168121e-10,0.0005165616,-0.0004805301,-3.6035635e-05,-2.9605152e-09,-2.8e-09,0.0004547447,-0.00045475975,-6.5453566e-19
