time,V(n001),V(n009),V(vin1),V(vin2),V(n002),V(n013),V(vz),V(n004),V(n014),V(n005),V(n008),V(n007),V(n006),V(n011),V(n003),V(n012),V(vout),V(n010),I(D1),I(D2),I(Rf),I(Rb),I(R3),I(R4),I(Rin),I(Rf2),I(R5),I(R6),I(R_weight1),I(R_weight2),I(Vcc),I(Vee),I(V1),I(V2),I(Vbias),I(Vref),Ix(input_buffer_1:1),Ix(input_buffer_1:2),Ix(input_buffer_1:3),Ix(input_buffer_1:4),Ix(input_buffer_1:5),Ix(input_buffer_2:1),Ix(input_buffer_2:2),Ix(input_buffer_2:3),Ix(input_buffer_2:4),Ix(input_buffer_2:5),Ix(weighted_sum:1),Ix(weighted_sum:2),Ix(weighted_sum:3),Ix(weighted_sum:4),Ix(weighted_sum:5),Ix(gain_stage:1),Ix(gain_stage:2),Ix(gain_stage:3),Ix(gain_stage:4),Ix(gain_stage:5),Ix(activation:1),Ix(activation:2),Ix(activation:3),Ix(activation:4),Ix(activation:5),Ix(limiter:1),Ix(limiter:2),Ix(limiter:3),Ix(limiter:4),Ix(limiter:5),Ix(output_stage:1),Ix(output_stage:2),Ix(output_stage:3),Ix(output_stage:4),Ix(output_stage:5)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,2.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.765624940649698e-12,5.0,-5.0,9.765625e-06,0.0,0.122115605,0.122196496,0.12219646,0.67219645,2.0,0.1220617,0.12212786,0.12206167,0.122060895,0.12206167,0.12205678,0.12205678,0.12206168,-1.4,-6.7696916e-18,6.7700494e-18,-2.75e-05,6.600296e-05,-6.8600374e-09,-6.6157817e-09,-8.035872e-11,1.6376307e-10,0.0,2.4411356e-10,-1.1001617e-05,-2.7499998e-05,-1.8597726,1.8598386,-1.953125e-14,0.0,0.0076782983,-0.005421008,1.953125e-14,2.4423122e-10,0.26844683,-0.26845783,1.1001373e-05,0.0,2.4439298e-10,0.2684386,-0.2684661,2.7499755e-05,0.0,1.3443929e-09,0.2684386,-0.2684661,2.749314e-05,0.0,2.4425573e-10,0.26845232,-0.26845235,6.5354193e-09,0.0,2.441218e-10,0.26845232,-0.26845232,-4.0788592e-10,0.0,2.4411356e-10,0.26845232,-0.26845232,-2.4411623e-10,2.4412333e-10,-2.789158e-09,0.26845232,-0.26845232,5.9817403e-16
9.841843139838569e-12,5.0,-5.0,9.841843e-06,0.0,0.12306868,0.12315021,0.12315017,0.6751473,2.0,0.12301436,0.123081036,0.12301432,0.12301355,0.12301432,0.123009406,0.123009406,0.12301434,-1.4,-6.822527e-18,6.822889e-18,-2.7599857e-05,6.624263e-05,-6.9135555e-09,-6.6673937e-09,-8.0986017e-11,1.6504109e-10,0.0,2.460188e-10,-1.1041572e-05,-2.7599855e-05,-1.2821387,1.282205,-1.9683687e-14,0.0,-6.624263e-05,2.8e-09,1.9683687e-14,2.4613736e-10,0.1831619,-0.18317293,1.1041327e-05,0.0,2.463004e-10,0.18315361,-0.18318121,2.759961e-05,0.0,1.3502947e-09,0.18315361,-0.18318121,2.7592943e-05,0.0,2.4616206e-10,0.1831674,-0.18316741,6.586406e-09,0.0,2.460271e-10,0.1831674,-0.1831674,-4.1106835e-10,0.0,2.4601882e-10,0.1831674,-0.1831674,-2.4602254e-10,2.4602864e-10,-2.8e-09,0.1831674,-0.1831674,3.4775423e-15
9.99427953821631e-12,5.0,-5.0,9.99428e-06,0.0,0.12497485,0.12505762,0.1250576,0.6764936,2.0,0.124919675,0.124987386,0.12491964,0.124918856,0.12491964,0.124914646,0.124914646,0.12491965,-1.4,-6.928197e-18,6.92857e-18,-2.7571798e-05,6.617532e-05,-7.0204837e-09,-6.770509e-09,-8.224116e-11,1.6759655e-10,0.0,2.4982927e-10,-1.10303745e-05,-2.7571796e-05,-0.08747206,0.08753827,-1.998856e-14,0.0,-6.617532e-05,2.8e-09,1.998856e-14,2.4994967e-10,0.01249522,-0.012506255,1.1030124e-05,0.0,2.5011523e-10,0.01248695,-0.012514526,2.7571547e-05,0.0,1.3529872e-09,0.012486951,-0.012514523,2.7564778e-05,0.0,2.4997476e-10,0.012500732,-0.012500743,6.688268e-09,0.0,2.498377e-10,0.012500735,-0.012500741,-4.17432e-10,0.0,2.498293e-10,0.012500735,-0.012500741,-2.4983282e-10,2.498393e-10,-2.8e-09,0.012500737,-0.012500739,8.091329e-15
1.4719807887926295e-11,5.0,-5.0,1.4719808e-05,0.0,0.18393655,0.18405683,0.18405658,0.71813506,2.0,0.18385641,0.18395466,0.18385635,0.18385519,0.18385635,0.18384899,0.18384899,0.1838581,-1.4,-1.0196758e-17,1.01975885e-17,-2.6703927e-05,6.409324e-05,-1.0192704e-08,-9.824795e-09,-1.2134933e-10,2.4636104e-10,0.0,3.6769798e-10,-1.0683971e-05,-2.6703912e-05,-0.087284945,0.08734907,-2.9439613e-14,0.0,-6.409324e-05,2.8e-09,2.9439613e-14,3.6787312e-10,0.012468452,-0.01247914,1.0683602e-05,0.0,3.6811368e-10,0.012460274,-0.012486983,2.6703543e-05,0.0,1.4362702e-09,0.012460235,-0.012486935,2.6693733e-05,0.0,3.6790931e-10,0.0124739,-0.012473916,9.70344e-09,0.0,3.677104e-10,0.012473905,-0.012473911,-6.140756e-10,0.0,3.6769798e-10,0.012473905,-0.012473911,-3.67694e-10,3.6771272e-10,-2.8e-09,0.012474275,-0.012474278,-4.5177553e-15
1.944533623763628e-11,5.0,-5.0,1.9445337e-05,0.0,0.24164888,0.24179748,0.24179503,0.7588887,2.0,0.24154985,0.24167003,0.24154978,0.24154826,0.24154978,0.2415401,0.2415401,0.24157023,-1.4,-1.3396269e-17,1.3397744e-17,-2.5854684e-05,6.2055566e-05,-1.2500891e-08,-1.2017551e-08,-1.5972487e-10,3.2337164e-10,0.0,4.830802e-10,-1.03447965e-05,-2.5854562e-05,-0.085333005,0.0853951,-3.889067e-14,0.0,-6.2055566e-05,2.8e-09,3.889067e-14,4.832978e-10,0.012188984,-0.012199333,1.0344314e-05,0.0,4.8359494e-10,0.0121793365,-0.012205196,2.585408e-05,0.0,1.5177775e-09,0.012178862,-0.01220471,2.5842184e-05,0.0,4.8334003e-10,0.0121954065,-0.012195424,1.1857755e-08,0.0,4.830965e-10,0.012195414,-0.012195419,-8.064714e-10,0.0,4.8308024e-10,0.012195414,-0.0121954195,-4.8307974e-10,4.8309956e-10,-2.8e-09,0.012199593,-0.012199596,-1.8561541e-16
2.920126573381173e-11,5.0,-5.0,2.9201266e-05,0.0,0.33721492,0.33738124,0.33736643,0.8263531,2.0,0.33710396,0.3372318,0.3371039,0.33710176,0.3371039,0.3370904,0.3370904,0.337249,-1.4,-1.8695268e-17,1.8698128e-17,-2.4449335e-05,5.8682344e-05,-1.34594975e-08,-1.27850335e-08,-2.21966e-10,4.5223753e-10,0.0,6.7418077e-10,-9.782764e-06,-2.4448593e-05,-0.06767494,0.06773366,-5.840253e-14,0.0,-5.8682344e-05,2.8e-09,5.840253e-14,6.7442985e-10,0.009664702,-0.0096744895,9.78209e-06,0.0,6.7476247e-10,0.009651028,-0.009675481,2.444792e-05,0.0,1.6527062e-09,0.009649557,-0.009674,2.4435874e-05,0.0,6.7446365e-10,0.009673803,-0.009673822,1.2562886e-08,0.0,6.742035e-10,0.009673815,-0.00967382,-1.1264454e-09,0.0,6.741808e-10,0.009673815,-0.009673821,-6.7418066e-10,6.7420775e-10,-2.8e-09,0.009688224,-0.0096882265,9.819258e-17
4.871312472616263e-11,5.0,-5.0,4.8713126e-05,0.0,0.4347363,0.43490517,0.43486714,0.8951856,2.0,0.4346237,0.43474108,0.4346236,0.43462086,0.4346236,0.43460622,0.43460622,0.43509734,-1.4,-2.410312e-17,2.4107709e-17,-2.3015922e-05,5.5240722e-05,-1.26074235e-08,-1.1737941e-08,-2.847555e-10,5.844862e-10,0.0,8.692124e-10,-9.208986e-06,-2.3014021e-05,-0.028524354,0.028579626,-9.742625e-14,0.0,-5.5240715e-05,2.8e-09,9.742625e-14,8.694726e-10,0.0040716035,-0.0040808176,9.208115e-06,0.0,8.6981033e-10,0.004058374,-0.004081393,2.301315e-05,0.0,1.7903712e-09,0.004057226,-0.004080236,2.3003313e-05,0.0,8.6948215e-10,0.004080423,-0.0040804404,1.1453141e-08,0.0,8.6924173e-10,0.0040804353,-0.0040804395,-1.4537336e-09,0.0,8.692124e-10,0.004080435,-0.00408044,-8.6921265e-10,8.692472e-10,-2.8e-09,0.004095858,-0.004095861,2.5950656e-18
8.615483913251918e-11,5.0,-5.0,8.615484e-05,0.0,0.48370218,0.4839067,0.48385006,0.9297648,2.0,0.48356602,0.4837032,0.48356587,0.48356283,0.4835659,0.48354656,0.48354656,0.4846309,-1.4,-2.681709e-17,2.6822685e-17,-2.2295739e-05,5.3511758e-05,-1.4684679e-08,-1.3717273e-08,-3.1960748e-10,6.475182e-10,0.0,9.670931e-10,-8.9212535e-06,-2.2292908e-05,-0.004432037,0.004485581,-1.7230968e-13,0.0,-5.3511754e-05,2.8e-09,1.7230968e-13,9.674044e-10,0.00063129223,-0.0006402185,8.920285e-06,0.0,9.678133e-10,0.00062220934,-0.00064450724,2.2291939e-05,0.0,1.8595298e-09,0.00062206876,-0.00064435665,2.2281052e-05,0.0,9.674064e-10,0.00063736713,-0.00063738646,1.3397598e-08,0.0,9.671257e-10,0.000637377,-0.00063738134,-1.6146504e-09,0.0,9.670931e-10,0.00063737656,-0.00063738157,-9.670934e-10,9.671317e-10,-2.8e-09,0.0006443462,-0.0006443494,-1.240223e-17
1.2849865720841275e-10,5.0,-5.0,0.00012849865,0.0,0.49222538,0.49247816,0.49241582,0.9358079,2.0,0.49205714,0.49223155,0.49205688,0.4920538,0.4920569,0.49203724,0.49203724,0.49380443,-1.4,-2.7287924e-17,2.7293714e-17,-2.2169601e-05,5.3209606e-05,-1.8426583e-08,-1.744212e-08,-3.3151132e-10,6.5259637e-10,0.0,9.840744e-10,-8.87165e-06,-2.2166485e-05,-0.0035648798,0.0036181214,-2.569973e-13,0.0,-5.3209606e-05,2.8e-09,2.569973e-13,9.844507e-10,0.00050807674,-0.00051695335,8.870665e-06,0.0,9.849563e-10,0.0005005084,-0.0005226799,2.21655e-05,0.0,1.8716158e-09,0.0005005011,-0.0005226591,2.2151175e-05,0.0,9.844632e-10,0.000513151,-0.00051317405,1.7110354e-08,0.0,9.841077e-10,0.0005131614,-0.0005131658,-1.6367107e-09,0.0,9.840745e-10,0.00051316107,-0.0005131661,-9.840746e-10,9.841138e-10,-2.8e-09,0.00051631994,-0.00051632314,-1.8472956e-17
