time,V(n001),V(n009),V(vin1),V(vin2),V(n002),V(n013),V(vz),V(n004),V(n014),V(n005),V(n008),V(n007),V(n006),V(n011),V(n003),V(n012),V(vout),V(n010),I(D1),I(D2),I(Rf),I(Rb),I(R3),I(R4),I(Rin),I(Rf2),I(R5),I(R6),I(R_weight1),I(R_weight2),I(Vcc),I(Vee),I(V1),I(V2),I(Vbias),I(Vref),Ix(input_buffer_1:1),Ix(input_buffer_1:2),Ix(input_buffer_1:3),Ix(input_buffer_1:4),Ix(input_buffer_1:5),Ix(input_buffer_2:1),Ix(input_buffer_2:2),Ix(input_buffer_2:3),Ix(input_buffer_2:4),Ix(input_buffer_2:5),Ix(weighted_sum:1),Ix(weighted_sum:2),Ix(weighted_sum:3),Ix(weighted_sum:4),Ix(weighted_sum:5),Ix(gain_stage:1),Ix(gain_stage:2),Ix(gain_stage:3),Ix(gain_stage:4),Ix(gain_stage:5),Ix(activation:1),Ix(activation:2),Ix(activation:3),Ix(activation:4),Ix(activation:5),Ix(limiter:1),Ix(limiter:2),Ix(limiter:3),Ix(limiter:4),Ix(limiter:5),Ix(output_stage:1),Ix(output_stage:2),Ix(output_stage:3),Ix(output_stage:4),Ix(output_stage:5)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,2.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.765624940649698e-12,5.0,-5.0,9.765625e-06,0.0,0.12224501,0.122153364,0.12215334,0.49620652,2.0,0.12206169,0.12210629,0.12206167,0.122060895,0.12206167,0.12205678,0.12205678,0.12206168,-1.4,-6.7696916e-18,6.7700494e-18,-1.870266e-05,7.480246e-05,-4.7045106e-09,-4.460298e-09,-7.9643264e-11,1.6447853e-10,0.0,2.4411356e-10,-3.7396152e-05,-1.8702658e-05,-1.8597683,1.8598433,-1.953125e-14,0.0,0.0076694284,-0.0054209586,1.953125e-14,2.4449e-10,0.26843363,-0.26847103,3.739591e-05,0.0,2.443067e-10,0.268443,-0.2684617,1.8702414e-05,0.0,9.92413e-10,0.268443,-0.2684617,1.8697956e-05,0.0,2.442126e-10,0.26845232,-0.26845235,4.380645e-09,0.0,2.4412178e-10,0.26845232,-0.26845232,-4.08597e-10,0.0,2.4411356e-10,0.26845232,-0.26845232,-2.441099e-10,2.4412333e-10,-2.789158e-09,0.26845232,-0.26845232,1.072452e-14
9.841842439814832e-12,5.0,-5.0,9.841842e-06,0.0,0.12319909,0.123106726,0.1231067,0.49851835,2.0,0.12301434,0.123059295,0.123014316,0.12301354,0.123014316,0.1230094,0.1230094,0.12301433,-1.4,-6.8225265e-18,6.8228884e-18,-1.8770581e-05,7.507408e-05,-4.7412123e-09,-4.495094e-09,-8.0264934e-11,1.6576214e-10,0.0,2.460188e-10,-3.7531925e-05,-1.8770581e-05,-1.2821343,1.2822094,-1.9683685e-14,0.0,-7.507408e-05,2.8e-09,1.9683685e-14,2.4639818e-10,0.18314864,-0.18318617,3.7531678e-05,0.0,2.4621347e-10,0.18315803,-0.1831768,1.8770334e-05,0.0,9.970367e-10,0.18315803,-0.1831768,1.876584e-05,0.0,2.4611857e-10,0.1831674,-0.18316741,4.414821e-09,0.0,2.460271e-10,0.1831674,-0.1831674,-4.1178616e-10,0.0,2.460188e-10,0.1831674,-0.1831674,-2.4601388e-10,2.4602864e-10,-2.8e-09,0.1831674,-0.1831674,7.9831974e-15
9.9942774381451e-12,5.0,-5.0,9.994277e-06,0.0,0.12510726,0.12501346,0.12501343,0.5000443,2.0,0.12491964,0.12496529,0.124919616,0.124918826,0.124919616,0.124914624,0.124914624,0.12491963,-1.4,-6.928195e-18,6.9285686e-18,-1.8751542e-05,7.4997784e-05,-4.8145425e-09,-4.5646122e-09,-8.150866e-11,1.6832899e-10,0.0,2.4982924e-10,-3.7493704e-05,-1.8751542e-05,-0.08746765,0.08754268,-1.9988555e-14,0.0,-7.4997784e-05,2.8e-09,1.9988555e-14,2.5021452e-10,0.012481988,-0.012519486,3.7493453e-05,0.0,2.5002692e-10,0.012491359,-0.012510116,1.875129e-05,0.0,1.0000886e-09,0.012491361,-0.012510114,1.8746729e-05,0.0,2.4993058e-10,0.012500733,-0.012500742,4.4831e-09,0.0,2.4983765e-10,0.012500735,-0.012500741,-4.1816703e-10,0.0,2.4982924e-10,0.012500735,-0.012500741,-2.498223e-10,2.4983923e-10,-2.8e-09,0.012500737,-0.012500739,-1.2929472e-15
1.471976238638341e-11,5.0,-5.0,1.47197625e-05,0.0,0.18412842,0.18399215,0.18399191,0.5472438,2.0,0.18385583,0.18392202,0.18385579,0.18385462,0.18385579,0.18384844,0.18384844,0.18385755,-1.4,-1.01967265e-17,1.0197557e-17,-1.8162595e-05,7.263781e-05,-6.987783e-09,-6.6199384e-09,-1.2017555e-10,2.475337e-10,0.0,3.6769685e-10,-3.6311536e-05,-1.8162584e-05,-0.087280594,0.08735327,-2.9439525e-14,0.0,-7.263781e-05,2.8e-09,2.9439525e-14,3.6825684e-10,0.012455369,-0.012491686,3.631117e-05,0.0,3.679843e-10,0.012464635,-0.012482803,1.8162216e-05,0.0,1.0944876e-09,0.012464596,-0.012482758,1.8155608e-05,0.0,3.6784406e-10,0.012473904,-0.012473916,6.4997616e-09,0.0,3.6770925e-10,0.012473907,-0.012473912,-6.1524774e-10,0.0,3.6769687e-10,0.012473907,-0.012473912,-3.6769912e-10,3.6771158e-10,-2.8e-09,0.012474276,-0.01247428,1.5459313e-16
1.944524733462172e-11,5.0,-5.0,1.9445248e-05,0.0,0.24188556,0.24171723,0.24171485,0.5934359,2.0,0.24154882,0.24162942,0.24154876,0.24154724,0.24154876,0.2415391,0.2415391,0.24156922,-1.4,-1.33962115e-17,1.3397688e-17,-1.7586051e-05,7.0328206e-05,-8.543539e-09,-8.06028e-09,-1.5808928e-10,3.250052e-10,0.0,4.8307813e-10,-3.5155033e-05,-1.7585933e-05,-0.08532799,0.08539835,-3.8890495e-14,0.0,-7.0328206e-05,2.8e-09,3.8890495e-14,4.8377113e-10,0.012173565,-0.012208725,3.515455e-05,0.0,4.834345e-10,0.012184498,-0.012202089,1.758545e-05,0.0,1.1868718e-09,0.012184027,-0.012201611,1.757751e-05,0.0,4.832589e-10,0.012195426,-0.01219544,7.9021385e-09,0.0,4.8309445e-10,0.012195432,-0.012195436,-8.0810264e-10,0.0,4.830782e-10,0.012195432,-0.012195436,-4.8307797e-10,4.830975e-10,-2.8e-09,0.01219961,-0.012199612,2.8449465e-16
2.920108722775887e-11,5.0,-5.0,2.9201086e-05,0.0,0.33747953,0.33729118,0.33727658,0.6699,2.0,0.33710256,0.3371862,0.3371025,0.33710036,0.3371025,0.337089,0.337089,0.3372476,-1.4,-1.869519e-17,1.869805e-17,-1.6631173e-05,6.6505e-05,-9.037456e-09,-8.363084e-09,-2.1994986e-10,4.5425086e-10,0.0,6.7417794e-10,-3.3242046e-05,-1.6630442e-05,-0.067668065,0.06773461,-5.8402176e-14,0.0,-6.6505e-05,2.8e-09,5.8402176e-14,6.7495903e-10,0.0096428795,-0.009676127,3.3241373e-05,0.0,6.7458233e-10,0.009658378,-0.009675013,1.6629767e-05,0.0,1.3398e-09,0.009656919,-0.009673548,1.6622134e-05,0.0,6.743724e-10,0.009673865,-0.009673879,8.142998e-09,0.0,6.742007e-10,0.009673873,-0.009673878,-1.1284558e-09,0.0,6.7417805e-10,0.009673873,-0.009673878,-6.7417794e-10,6.7420497e-10,-2.8e-09,0.009688281,-0.009688284,1.06649356e-16
4.871276701403318e-11,5.0,-5.0,4.8712765e-05,0.0,0.43500522,0.434814,0.43477643,0.74791414,2.0,0.4346225,0.43469512,0.43462244,0.4346197,0.43462244,0.43460506,0.43460506,0.43509617,-1.4,-2.4103055e-17,2.4107646e-17,-1.5656888e-05,6.260429e-05,-8.130525e-09,-7.261135e-09,-2.824605e-10,5.8677885e-10,0.0,8.6921004e-10,-3.1290896e-05,-1.565501e-05,-0.028517649,0.028580287,-9.742553e-14,0.0,-6.260429e-05,2.8e-09,9.742553e-14,8.700104e-10,0.0040504956,-0.0040817917,3.1290027e-05,0.0,8.69628e-10,0.004065473,-0.0040811333,1.565414e-05,0.0,1.4958284e-09,0.0040643327,-0.0040799878,1.5648757e-05,0.0,8.693902e-10,0.004080476,-0.0040804883,6.978635e-09,0.0,8.692394e-10,0.0040804837,-0.004080488,-1.4560241e-09,0.0,8.6921015e-10,0.004080483,-0.004080488,-8.6921037e-10,8.6924484e-10,-2.8e-09,0.004095906,-0.004095909,8.07613e-19
8.61539560663248e-11,5.0,-5.0,8.615396e-05,0.0,0.48402944,0.48379767,0.48374167,0.7871133,2.0,0.48356602,0.48364902,0.48356593,0.48356286,0.48356593,0.48354658,0.48354658,0.4846309,-1.4,-2.6817091e-17,2.6822686e-17,-1.51685845e-05,6.0644332e-05,-9.266295e-09,-8.298997e-09,-3.1582909e-10,6.512966e-10,0.0,9.670931e-10,-3.0308389e-05,-1.5165784e-05,-0.0044271895,0.0044878656,-1.7230791e-13,0.0,-6.064433e-05,2.8e-09,1.7230791e-13,9.680589e-10,0.0006167838,-0.0006470972,3.030742e-05,0.0,9.675953e-10,0.00062704313,-0.0006422139,1.51648155e-05,0.0,1.5742266e-09,0.00062689965,-0.00064206554,1.5159318e-05,0.0,9.67298e-10,0.0006373687,-0.0006373826,7.983126e-09,0.0,9.671257e-10,0.00063737505,-0.00063737936,-1.6184288e-09,0.0,9.670932e-10,0.00063737464,-0.00063737965,-9.670934e-10,9.671318e-10,-2.8e-09,0.0006443444,-0.0006443476,-2.8952466e-17
1.284848762301006e-10,5.0,-5.0,0.00012848487,0.0,0.49262866,0.4923421,0.49228048,0.79396963,2.0,0.4920558,0.49216324,0.49205565,0.49205256,0.49205568,0.49203598,0.49203598,0.49380293,-1.4,-2.7287856e-17,2.7293645e-17,-1.5084457e-05,6.0301518e-05,-1.1726101e-08,-1.0741775e-08,-3.25362e-10,6.587431e-10,0.0,9.840719e-10,-3.0134099e-05,-1.5081375e-05,-0.0035608967,0.0036212304,-2.5696977e-13,0.0,-6.0301514e-05,2.8e-09,2.5696977e-13,9.852573e-10,0.0004960072,-0.0005261463,3.0133111e-05,0.0,9.846842e-10,0.00050453964,-0.00051962596,1.508039e-05,0.0,1.5879392e-09,0.0005045286,-0.0005196079,1.5072731e-05,0.0,9.843265e-10,0.00051316054,-0.0005131769,1.041625e-08,0.0,9.841051e-10,0.00051316724,-0.0005131716,-1.6428547e-09,0.0,9.840719e-10,0.0005131669,-0.00051317184,-9.840722e-10,9.841112e-10,-2.8e-09,0.0005163266,-0.0005163297,-3.8439182e-17
